feature_set,model,horizon,MAE,RMSE,sMAPE
Baseline,Naive,7,931.4288243152973,1192.560783589149,14.462130268428583
Baseline,Naive,14,2556.6220961923846,2962.3948281302933,33.07448066384
Baseline,SeasonalNaive,7,1679.2060801603209,1986.797323210794,24.038253420380887
Baseline,SeasonalNaive,14,1282.0302164328657,1690.4828070639662,14.988354452522133
History+NLP,LightGBM,7,1010.3844608528469,1193.10769658938,16.459209462737387
History+NLP,LightGBM,14,1777.2357966963975,2298.078111933681,19.931874211715833
History+NLP,RandomForest,7,829.2447830371387,1050.6547674138062,12.875030926278036
History+NLP,RandomForest,14,1294.4893411982293,1773.5670131575523,14.21598220752996
History+NLP,Ridge,7,1283.645942501317,1456.6113696643263,19.97053036566405
History+NLP,Ridge,14,1465.1610277557918,1860.0760542886494,16.68445130023923
HistoryOnly,LightGBM,7,1001.9927592335453,1182.706123497467,16.39776081449996
HistoryOnly,LightGBM,14,1827.5871249437166,2339.3933783514153,20.63838245841449
HistoryOnly,RandomForest,7,857.9613849272979,1076.059064044901,13.369454488344365
HistoryOnly,RandomForest,14,1314.936709096549,1786.0447856620274,14.504389499237805
HistoryOnly,Ridge,7,1338.1607164240982,1508.6662904271516,20.74452702787165
HistoryOnly,Ridge,14,1420.439082657037,1830.456187802292,16.03637486563287
